ARRAY SIZE,CHUNK SIZE,SCHEDULING,TIME
1000,1,Static,0.000174
1000,1,Dynamic,0.000036
1000,2,Static,0.000009
1000,2,Dynamic,0.000016
3000,1,Static,0.000005
3000,1,Dynamic,0.000083
3000,2,Static,0.000011
3000,2,Dynamic,0.000053
5000,1,Static,0.000008
5000,1,Dynamic,0.002254
5000,2,Static,0.000034
5000,2,Dynamic,0.000075
7000,1,Static,0.000012
7000,1,Dynamic,0.000179
7000,2,Static,0.000014
7000,2,Dynamic,0.0001
9000,1,Static,0.000013
9000,1,Dynamic,0.000244
9000,2,Static,0.000016
9000,2,Dynamic,0.000128
